ax,ay,az,gx,gy,gz
-9.15,-0.89,1.14,0.23,-0.19,0.05
-9.22,-0.58,1.37,0.23,-0.08,0.07
-9.36,-0.49,1.51,0.12,0.03,0.06
-9.38,-0.69,1.62,0.07,0.15,0.04
-9.58,-0.71,1.61,0.08,0.2,0.06
-9.67,-0.65,1.5,0.1,0.2,0.1
-9.68,-0.46,1.42,0.14,0.19,0.17
-9.65,-0.28,1.34,0.15,0.19,0.19
-9.6,-0.04,1.36,0.13,0.2,0.19
-9.64,0.1,1.37,0.06,0.22,0.15
-9.74,0.11,1.39,-0.02,0.24,0.12
-9.79,-0.04,1.35,-0.03,0.23,0.1
-9.89,-0.11,1.29,-0.02,0.21,0.09
-9.99,-0.07,1.09,0.0,0.16,0.08
-9.96,-0.1,1.06,-0.0,0.11,0.07
-9.9,-0.12,1.06,-0.02,0.08,0.07
-9.78,-0.23,1.08,-0.05,0.06,0.06
-9.75,-0.42,1.13,-0.06,0.06,0.06
-9.83,-0.52,1.19,-0.07,0.07,0.04
-9.85,-0.77,1.16,-0.08,0.09,0.05
