ax,ay,az,gx,gy,gz
-11.21,5.37,1.39,0.1,0.08,-0.49
-11.01,4.81,1.18,-0.07,0.11,-0.61
-10.84,4.0,0.65,-0.27,0.14,-0.67
-10.72,2.97,0.25,-0.36,0.05,-0.68
-10.17,2.04,0.02,-0.36,-0.09,-0.6
-9.28,1.53,-0.07,-0.26,-0.14,-0.49
-8.92,1.37,-0.02,-0.11,-0.19,-0.39
-8.37,1.16,0.13,-0.04,-0.19,-0.31
-7.98,1.05,0.24,-0.06,-0.18,-0.21
-7.58,1.0,0.34,-0.1,-0.19,-0.04
-7.25,1.0,0.37,-0.0,-0.19,0.22
-6.93,1.55,0.47,0.21,-0.21,0.43
-6.84,2.48,0.6,0.39,-0.24,0.58
-6.98,3.59,0.74,0.5,-0.25,0.74
-7.35,4.96,1.35,0.48,-0.28,0.77
-7.56,5.99,1.93,0.33,-0.28,0.68
