ax,ay,az,gx,gy,gz
9.62,-7.21,0.37,-0.4,-0.31,-2.92
-0.53,-0.87,7.27,-0.54,-0.39,-3.21
5.25,-0.33,7.64,-2.32,-0.71,-3.73
7.7,-0.4,8.68,-3.51,-0.24,-4.27
14.69,-1.28,3.44,-2.59,0.77,-4.37
19.61,5.04,-3.49,0.52,2.46,-4.37
19.61,19.61,-11.26,1.62,2.78,-4.37
19.61,19.61,-14.58,-2.16,3.69,-2.68
19.61,19.61,-19.61,-4.37,4.37,-0.76
19.61,18.38,-16.03,-4.28,4.37,-0.56
19.61,19.61,-10.22,-4.37,4.37,0.3
17.07,18.32,-12.31,-4.37,4.37,1.09
15.09,19.61,-19.61,-4.37,4.37,1.07
7.15,19.61,-19.61,-4.37,4.37,0.88
-4.93,19.61,-19.61,-4.37,4.37,1.7
-19.61,19.61,-19.61,-4.37,4.37,1.73
-19.61,15.8,-19.61,-4.37,4.37,4.37
-19.61,-2.69,-19.61,-4.37,4.37,4.37
-19.61,-13.46,-14.78,-4.37,4.37,3.87
