ax,ay,az,gx,gy,gz
5.07,2.39,-3.73,-0.84,1.25,0.23
4.65,2.74,-8.41,-0.69,1.36,0.62
2.08,-1.91,-0.17,0.32,1.37,-0.22
3.45,4.68,0.37,-0.06,0.5,0.02
4.23,3.6,2.48,-0.41,-0.62,0.33
5.59,3.76,2.49,-0.47,-1.76,0.48
6.5,6.64,2.8,-1.28,-2.36,-0.02
7.05,9.86,1.83,-3.24,-3.38,-0.38
8.33,8.84,-2.16,-4.37,-4.37,-0.86
11.74,9.05,-9.05,-4.37,-4.37,-1.28
16.15,10.24,-15.7,-4.37,-4.2,-1.64
15.61,12.36,-19.61,-4.37,-2.81,-1.8
13.59,13.58,-19.61,-4.37,-1.14,-1.37
10.61,16.01,-19.61,-4.37,0.32,-0.89
5.51,16.89,-19.61,-4.37,1.65,-1.37
2.89,19.61,-19.61,-4.37,3.11,-0.69
-1.85,19.61,-19.61,-4.37,4.35,0.7
-4.3,19.61,-19.61,-4.37,4.37,0.98
-10.73,19.61,-19.61,-4.37,4.37,3.16
-16.59,19.61,-19.61,-4.37,4.37,4.37
