ax,ay,az,gx,gy,gz
7.58,1.2,1.37,0.62,-0.66,1.37
6.55,-0.15,0.05,0.87,-0.5,1.26
6.22,0.46,0.44,0.69,-0.36,0.75
5.95,1.62,0.38,-0.12,-0.24,0.25
6.16,3.65,1.67,-1.24,-0.12,-0.19
4.49,5.81,4.74,-1.95,-0.71,-0.36
5.06,7.71,6.17,-2.75,-1.82,-0.39
6.86,9.55,6.45,-4.15,-2.34,-0.97
7.04,9.95,6.26,-4.37,-2.47,-2.16
6.05,8.39,6.04,-4.37,-3.03,-2.89
6.44,7.34,4.69,-4.37,-3.58,-3.18
8.06,7.27,4.55,-4.37,-3.62,-3.34
9.56,8.64,4.61,-4.37,-3.24,-4.08
11.81,10.86,4.5,-4.37,-2.54,-4.37
12.9,13.49,4.04,-4.37,-2.3,-4.37
12.92,13.03,1.48,-4.37,-3.06,-4.21
13.79,14.64,-3.24,-4.37,-3.33,-2.98
17.56,18.24,-7.01,-4.37,-1.56,-2.4
19.61,19.61,-8.46,-4.37,1.63,-2.34
17.16,19.61,-7.19,-4.37,4.13,-1.8
