ax,ay,az,gx,gy,gz
14.8,-4.59,1.45,1.59,0.02,-1.16
6.78,6.86,9.9,0.59,1.12,-0.43
11.4,7.26,18.07,-2.82,-0.19,-1.46
14.26,5.15,19.61,-4.37,-0.62,-2.06
19.61,-2.76,13.08,-4.37,-0.39,-2.92
19.61,-4.97,-0.93,-3.22,2.61,-3.97
19.61,4.35,-7.02,-4.37,4.37,-4.37
19.61,5.22,-18.19,-4.37,4.37,-4.37
19.61,3.78,-19.61,-4.37,4.37,-4.37
19.61,16.03,-19.61,-3.59,4.37,-4.37
15.21,19.61,-18.45,-2.3,4.37,-2.42
3.71,19.61,-19.61,-4.37,4.37,-1.4
-1.19,19.61,-19.61,-4.37,4.37,-0.52
-10.55,19.61,-19.61,-4.37,4.37,1.41
-19.61,15.68,-19.61,-4.37,4.37,4.37
-19.61,5.43,-14.94,-4.37,4.37,4.37
-19.61,-6.47,-7.98,-4.37,4.11,4.37
-19.61,-18.63,-2.75,-4.37,2.16,3.42
-19.61,-19.61,0.98,-4.36,-0.48,2.37
