ax,ay,az,gx,gy,gz
4.44,4.92,-1.94,-0.19,-1.09,-0.21
3.59,6.34,-2.49,-0.35,-1.78,0.12
3.79,6.32,-3.12,-0.43,-2.06,0.65
5.14,7.43,-3.46,-0.82,-2.17,0.34
5.1,8.42,-4.09,-0.98,-2.16,0.2
5.69,9.42,-3.69,-1.03,-2.26,0.47
6.74,9.26,-3.39,-1.7,-2.36,0.41
9.18,7.85,-3.78,-2.14,-1.97,0.21
10.79,6.31,-2.7,-2.05,-1.51,-0.09
10.18,6.38,-1.92,-2.36,-1.96,-0.29
9.5,7.21,-4.0,-3.7,-2.97,-0.48
12.2,6.15,-9.25,-4.37,-3.18,-1.02
16.35,4.56,-12.15,-4.37,-2.06,-1.45
19.03,3.94,-12.2,-4.37,-0.55,-2.04
19.61,6.2,-13.27,-4.37,0.53,-2.17
19.61,7.46,-14.62,-4.37,1.23,-1.87
19.61,8.1,-17.01,-4.37,2.16,-1.44
18.9,8.52,-18.23,-4.25,3.63,-1.5
16.38,10.44,-16.96,-3.21,4.37,-1.53
14.26,15.15,-15.85,-3.28,4.37,-1.4
